Form I-140 Immigrant Petition for Alien Worker,,,,,,,,,
Receipts by Beneficiary Country of Birth and Employment-Based Preference,,,,,,,,,
Fiscal Year 2023 (Q4),,,,,,,,,
Beneficiary Country of Birth,First Preference (EB1),,,Second Preference (EB2),,Third Preference (EB3),,,
,Alien of Extraordinary Ability (E11),Outstanding Professor or Researcher (E12),Multi-national Executive or Manager (E13),Professionals with Advanced Degrees (E21),National Interest Waiver (NIW),Skilled Worker (E31),Professionals with Baccalaureate Degrees (E32),Needed Unskilled Workers (EW3),Total
RWANDA, - , - , - ,3,9,2,2,1,17
CZECHIA, - ,1,1,5,4,1,2,2,16
"GAMBIA, THE",4, - , - , - ,1,5,1,5,16
NORTH MACEDONIA,4, - ,1, - ,4, - ,1,6,16
TANZANIA,1,1,1,1,9,2,1, - ,16
ALGERIA,1,1,3,1,5, - ,1,3,15
LIBYA,2, - ,1,1,9,1,1, - ,15
SUDAN,2, - , - ,2,8,2, - ,1,15
TAJIKISTAN,5, - , - , - ,5, - , - ,3,13
GUYANA,1,1, - ,1,3,4, - ,2,12
MOLDOVA,4, - , - ,1,1,2,3,1,12
QATAR, - , - ,1,1,7,2,1, - ,12
TURKMENISTAN,5, - , - , - ,4, - , - ,3,12
URUGUAY,3, - , - , - ,7,1,1, - ,12
BOTSWANA,1, - , - ,2,1,5,2, - ,11
NICARAGUA,3, - ,1,1,5, - ,1, - ,11
SLOVAKIA, - , - ,3,3,2,1,1,1,11
CROATIA,1, - ,1,1,6, - ,1, - ,10
CYPRUS,1, - , - ,3,4,1, - ,1,10
NIGER,1, - ,1,1,6, - ,1, - ,10
YEMEN, - , - , - ,1,9, - , - , - ,10
CONGO (KINSHASA), - , - , - ,1,7, - , - ,1,9
CÔTE D'IVOIRE,1, - ,2,1,3, - ,2, - ,9
LITHUANIA,1, - ,3, - ,3, - ,2, - ,9
CUBA,1, - ,1,1,5, - , - , - ,8
ICELAND, - ,1,1,5,1, - , - , - ,8
OMAN, - , - , - ,2,1,2,3, - ,8
SAINT LUCIA, - , - , - , - , - ,7,1, - ,8
AFGHANISTAN,1,1,1, - ,3, - , - ,1,7
BARBADOS, - , - ,2, - ,2,3, - , - ,7
ESTONIA,1, - ,3, - ,3, - , - , - ,7
LATVIA,4, - , - , - ,3, - , - , - ,7
PARAGUAY,1, - ,3,1,1,1, - , - ,7
BAHRAIN, - ,1, - ,2,1, - ,2, - ,6
DOMINICA,1, - , - , - ,1,2,2, - ,6
MALAWI,2, - , - , - ,1,3, - , - ,6
SENEGAL,1,1,1, - ,2, - , - , - ,5
ANTIGUA AND BARBUDA, - , - , - ,1, - ,2,1, - ,4
BELIZE, - , - , - , - ,2,2, - , - ,4
BURUNDI, - , - ,1, - ,2, - ,1, - ,4
KOSOVO, - , - ,1, - ,2, - ,1, - ,4
NAMIBIA,1, - , - ,1, - ,1, - ,1,4
BENIN, - , - , - , - ,3, - , - , - ,3
GABON,2, - , - , - ,1, - , - , - ,3
GERMAN DEMOCRATIC REPUBLIC,2, - , - , - ,1, - , - , - ,3
SIERRA LEONE, - , - , - , - ,2, - , - ,1,3
TOGO, - , - , - , - ,3, - , - , - ,3
ANGOLA, - , - ,1, - ,1, - , - , - ,2
BERMUDA, - , - ,1,1, - , - , - , - ,2
BHUTAN, - , - , - , - , - ,1,1, - ,2
BOSNIA AND HERZEGOVINA,1, - , - , - ,1, - , - , - ,2
BURKINA FASO,1,1, - , - , - , - , - , - ,2
CABO VERDE, - , - , - , - ,1,1, - , - ,2
ERITREA, - , - , - , - ,1,1, - , - ,2
FRENCH POLYNESIA, - , - ,1, - , - , - ,1, - ,2
GRENADA, - , - ,1, - , - ,1, - , - ,2
LUXEMBOURG, - , - , - , - ,1,1, - , - ,2
MACAU, - , - , - , - ,2, - , - , - ,2
MADAGASCAR, - , - ,1, - ,1, - , - , - ,2
MALI, - , - , - , - ,2, - , - , - ,2
MALTA, - , - ,1,1, - , - , - , - ,2
MONTENEGRO, - , - , - ,2, - , - , - , - ,2
"PALESTINE, STATE OF", - , - ,1, - , - , - ,1, - ,2
SAINT VINCENT AND THE GRENADINES, - , - , - , - ,1,1, - , - ,2
SLOVENIA,1, - , - , - ,1, - , - , - ,2
SURINAME, - , - , - , - ,1,1, - , - ,2
BRUNEI, - , - , - , - , - ,1, - , - ,1
CHAD, - , - , - , - ,1, - , - , - ,1
CONGO (BRAZZAVILLE), - , - , - , - ,1, - , - , - ,1
CURAÇAO, - , - ,1, - , - , - , - , - ,1
CZECHOSLOVAKIA, - ,1, - , - , - , - , - , - ,1
EQUATORIAL GUINEA, - , - , - , - , - , - , - ,1,1
FRENCH GUIANA,1, - , - , - , - , - , - , - ,1
GUINEA, - , - , - , - ,1, - , - , - ,1
"KOREA, NORTH", - , - , - , - , - , - , - ,1,1
MARTINIQUE, - , - , - , - , - , - ,1, - ,1
NETHERLANDS ANTILLES, - ,1, - , - , - , - , - , - ,1
PALAU, - , - , - , - , - ,1, - , - ,1
PITCAIRN ISLANDS, - , - , - , - , - ,1, - , - ,1
STATELESS, - , - , - , - ,1, - , - , - ,1
YUGOSLAVIA, - , - , - , - , - ,1, - , - ,1
Notes:,,,,,,,,,
1) Petitions received in one reporting period may be approved or denied in subsequent reporting periods.,,,,,,,,,
2) This report reflects the most up to date data available at the time the database is queried.,,,,,,,,,
3) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,
"4) Since petitioners are able to files more than one petition, this report includes all filed petitions; therefore, it could contain multiple petitions for a single individual. ",,,,,,,,,
"5) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,
Source:,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,
"CLAIM3 and ELIS, queried 10/2023, TRK 13224",,,,,,,,,
